Date,Revenue (in million $),Profit (in million $),Stock Price ($),Market Sentiment,Number of New Customers,Customer Retention Rate (%),Expenses (in million $)
2023,208.78,106.93,116.02,Neutral,7204,69.74,117.38
2027,377.86,40.62,198.83,Neutral,4046,83.3,255.41
2029,493.32,120.14,243.42,Positive,9960,73.92,116.0
2027,455.39,125.41,207.51,Neutral,1689,83.51,157.25
2030,230.12,136.13,299.04,Neutral,7033,85.35,112.25
2028,382.74,145.42,256.66,Negative,1956,82.45,251.67
2032,102.29,75.22,192.79,Positive,3828,63.9,55.61
2027,413.5,89.27,128.19,Positive,3850,60.47,54.29
2030,349.5,116.72,59.73,Negative,4839,78.59,190.85
2027,445.77,92.17,195.24,Positive,6660,82.7,160.57
2032,155.37,91.04,192.37,Negative,7039,71.37,142.87
2027,353.23,75.7,160.76,Neutral,6232,73.84,284.98
2024,244.97,130.91,77.52,Negative,4716,61.63,211.06
2031,359.46,48.54,89.05,Negative,8427,72.41,101.04
2028,282.07,103.49,259.34,Neutral,4505,60.57,244.78
2029,168.57,73.5,163.72,Neutral,3690,79.17,288.38
2024,329.04,48.78,280.33,Neutral,9135,62.85,198.52
2026,112.7,69.27,71.14,Negative,6866,66.34,265.75
2030,178.66,113.24,121.63,Negative,3259,66.49,222.8
2029,347.6,141.71,243.98,Neutral,7419,70.43,158.85
2023,367.72,134.87,126.51,Neutral,2546,83.68,154.05
2032,191.75,75.68,117.14,Neutral,7628,75.9,296.33
2031,487.1,71.56,119.59,Negative,9301,78.92,104.93
2030,151.87,45.9,138.83,Positive,2036,61.88,102.63
2028,459.3,118.75,69.12,Negative,8542,81.2,204.3
2027,291.4,119.28,125.91,Negative,7059,68.21,171.96
2023,276.7,147.79,148.93,Negative,7324,72.56,164.61
2031,329.72,103.41,244.26,Negative,3153,69.42,184.51
2029,325.02,117.12,285.1,Neutral,8124,74.68,235.41
2028,435.29,60.6,264.95,Neutral,6558,80.96,154.04
2030,178.57,143.2,93.87,Negative,2881,86.09,150.69
2029,472.93,113.82,119.85,Negative,2445,85.64,91.33
2025,187.48,35.6,256.43,Neutral,7855,76.76,142.79
2028,249.82,121.68,141.85,Negative,8243,76.7,261.28
2027,170.05,104.19,105.13,Neutral,5820,86.22,112.42
2028,400.67,97.29,200.07,Positive,9467,71.3,108.01
2026,283.33,59.17,73.44,Neutral,6447,87.62,60.01
2030,183.02,43.34,277.11,Negative,9347,82.82,88.62
2024,404.17,81.81,226.02,Positive,7751,71.27,227.03
2024,168.28,14.26,101.11,Negative,7992,75.32,203.78
2031,287.33,118.3,80.85,Neutral,5512,85.59,282.1
2023,418.4,115.52,103.88,Negative,2504,83.2,278.74
2030,212.42,34.29,144.94,Neutral,8850,79.55,102.7
2032,370.96,89.21,282.29,Neutral,9100,82.48,157.78
2030,410.1,42.82,136.27,Positive,8282,68.81,60.37
2029,206.2,95.6,219.62,Neutral,2051,85.44,286.79
2025,302.53,59.06,278.23,Neutral,1307,80.34,185.76
2026,349.08,148.62,127.97,Negative,6869,62.37,160.7
2023,135.6,148.84,185.25,Neutral,5005,61.85,73.09
2030,338.09,31.07,292.02,Positive,8678,75.05,111.66
2028,364.77,115.16,238.47,Neutral,9002,68.83,78.7
2023,102.75,39.74,215.88,Neutral,7305,85.68,139.19
2029,218.03,51.84,76.76,Neutral,4672,81.89,285.06
2027,271.98,126.33,79.97,Neutral,3044,75.94,121.99
2032,219.98,93.45,158.46,Positive,3672,61.36,104.48
2029,363.46,140.42,255.25,Neutral,9383,86.95,149.88
2031,477.06,21.58,113.48,Positive,7009,77.31,166.0
2030,136.87,91.91,106.57,Negative,8616,80.99,204.24
2029,169.01,89.52,124.09,Positive,8036,84.56,295.89
2031,112.71,119.49,110.02,Neutral,7686,61.58,223.0
2029,187.3,148.52,193.61,Positive,7837,86.93,236.29
2028,290.94,59.11,140.64,Negative,6904,69.85,102.26
2023,433.84,60.17,278.22,Negative,7509,65.48,84.9
2028,404.75,119.41,118.94,Negative,8984,72.62,200.42
2027,224.72,44.97,213.54,Neutral,7289,69.96,282.03
2029,267.07,26.29,203.2,Negative,2003,80.8,212.06
2026,320.27,66.45,258.41,Positive,7524,71.2,113.83
2023,277.65,115.0,182.92,Neutral,2956,62.1,148.81
2026,322.53,14.08,276.81,Positive,3284,81.3,73.93
2030,300.97,112.41,289.53,Positive,1961,86.59,283.58
2025,251.85,54.32,121.42,Neutral,9849,61.29,245.24
2029,392.6,125.43,86.61,Positive,9069,88.3,109.29
2026,407.25,80.07,158.44,Negative,2447,76.42,118.6
2032,329.22,55.53,59.82,Negative,4177,60.19,294.59
2026,229.74,42.75,102.72,Neutral,8701,63.97,145.56
2029,206.37,148.65,56.44,Negative,1224,72.93,126.12
2031,172.47,97.19,105.67,Negative,3931,76.39,154.3
2024,168.37,68.54,239.32,Neutral,4561,62.52,148.28
2029,421.99,17.33,89.91,Neutral,6578,60.71,258.74
2029,154.18,42.41,267.1,Positive,7197,66.41,155.0
2025,257.16,14.01,195.81,Neutral,5586,69.19,60.06
2026,489.52,86.19,118.81,Negative,5686,68.14,276.06
2029,319.95,17.08,156.53,Neutral,1016,66.65,129.39
2026,426.92,140.26,73.84,Neutral,7543,69.96,215.7
2026,297.01,71.89,133.6,Negative,6555,64.84,193.0
2027,404.06,31.55,87.31,Neutral,5926,70.83,152.11
2024,122.67,14.85,147.98,Negative,2909,67.79,271.52
2026,224.76,27.1,77.78,Neutral,7382,83.72,85.28
2026,142.24,16.34,214.1,Negative,4748,62.46,58.73
2024,112.01,72.23,176.15,Negative,9681,83.81,214.86
2031,302.83,99.31,296.29,Neutral,5282,72.34,156.87
2030,325.69,129.08,100.38,Positive,1926,80.67,255.82
2029,139.82,94.45,180.9,Negative,8392,74.77,98.75
2027,406.15,45.42,266.39,Negative,7553,68.63,73.32
2025,229.73,104.71,198.56,Neutral,8984,80.48,193.84
2026,210.37,117.6,106.57,Neutral,6856,78.76,236.77
2032,200.43,101.06,103.08,Positive,5563,81.04,78.36
2024,173.38,93.18,152.84,Positive,5683,60.84,205.68
2031,203.44,13.9,207.84,Positive,2409,79.91,291.33
2027,330.75,88.95,175.07,Neutral,3669,62.7,200.23
2024,466.91,66.92,85.82,Positive,8189,75.76,224.46
2026,342.19,53.1,259.38,Neutral,9386,67.61,239.08
2027,364.73,98.72,198.37,Negative,4789,81.86,130.88
2029,322.63,57.98,83.64,Positive,9872,73.82,174.74
2027,141.37,66.28,232.23,Negative,3253,63.55,50.01
2025,242.64,45.63,53.22,Negative,1935,86.83,255.9
2027,305.78,21.91,187.22,Neutral,2985,78.21,147.18
2031,255.96,77.21,84.5,Negative,5078,89.3,151.18
2028,449.45,149.38,195.68,Positive,4966,69.81,126.44
2023,295.61,130.34,198.08,Negative,4744,78.97,82.08
2026,380.24,115.49,268.21,Neutral,8954,81.91,204.79
2031,213.82,72.02,204.28,Neutral,6162,65.89,81.39
2032,309.43,49.52,124.52,Positive,1923,83.15,212.98
2029,490.19,76.38,66.67,Negative,3657,74.94,222.33
2026,223.11,95.91,274.48,Negative,4957,86.81,68.66
2029,286.47,36.59,225.43,Neutral,9106,88.25,182.43
2027,226.31,17.96,241.63,Neutral,4637,69.94,218.92
2023,370.44,53.01,142.51,Positive,8382,83.7,129.5
2031,251.14,18.69,134.83,Neutral,3381,61.83,174.83
2025,280.7,59.66,150.18,Negative,1946,60.01,203.49
2027,276.81,100.75,65.36,Negative,7360,88.22,212.19
2024,179.06,35.27,115.62,Positive,7106,70.14,81.71
2027,370.25,15.33,204.99,Neutral,9921,66.45,60.49
2024,448.77,90.78,136.37,Negative,3339,76.21,69.82
2031,258.53,51.49,85.87,Negative,8354,71.15,203.6
2029,475.83,115.72,196.66,Neutral,8837,69.45,247.85
2026,413.39,48.79,285.22,Positive,1441,89.63,131.42
2028,388.83,15.64,151.36,Positive,8933,88.08,218.06
2023,159.66,120.03,204.48,Negative,1904,86.22,53.23
2023,326.76,59.22,202.59,Negative,4956,63.49,81.77
2029,460.96,63.65,104.08,Positive,5675,65.98,116.12
2024,419.91,87.66,256.48,Neutral,4096,73.36,53.64
2029,342.04,40.87,206.41,Positive,5524,84.59,256.21
2027,405.48,83.28,106.69,Negative,4854,78.76,53.09
2025,173.78,38.32,146.68,Neutral,6515,71.93,177.93
2025,453.43,47.89,98.54,Negative,7019,60.22,56.45
2030,329.55,89.24,269.51,Neutral,8500,63.41,279.39
2029,117.63,35.94,185.32,Positive,3313,88.38,260.54
2030,280.63,141.17,296.01,Neutral,4917,67.38,139.53
2028,373.73,142.86,85.64,Positive,2819,62.3,51.05
2031,122.17,56.36,241.49,Positive,8235,65.31,74.61
2025,487.12,86.98,290.79,Negative,3653,74.71,92.38
2026,171.61,121.65,219.39,Negative,5270,87.67,68.18
2024,351.1,100.64,260.94,Negative,6428,80.62,290.4
2030,259.73,67.35,294.56,Negative,8607,83.97,133.55
2029,209.06,112.42,143.03,Negative,4197,61.79,223.01
2024,360.91,74.35,218.94,Neutral,2366,77.06,64.79
2025,258.4,28.62,89.68,Negative,3261,86.39,276.76
2031,263.63,59.61,125.71,Negative,6014,77.67,284.67
2024,330.24,32.6,167.93,Negative,2882,77.11,102.53
2025,431.0,45.64,168.26,Negative,3693,69.92,236.18
2031,418.5,112.9,202.53,Positive,7772,61.83,223.5
2024,215.27,10.91,174.06,Positive,8164,82.04,55.99
2024,476.59,34.42,167.91,Negative,7079,76.52,151.84
2025,458.63,37.48,55.64,Neutral,4553,86.72,199.24
2025,423.36,95.63,123.94,Positive,8209,65.42,117.2
2030,198.74,52.9,188.78,Neutral,3068,72.79,203.86
2029,389.23,118.17,228.72,Neutral,6051,60.44,140.09
2026,359.75,103.64,249.66,Positive,1271,69.98,189.35
2027,283.41,89.04,215.76,Neutral,4676,87.95,299.24
2032,183.36,28.61,209.62,Negative,8533,61.71,84.41
2025,461.29,13.45,102.36,Positive,4339,70.7,277.93
2031,404.0,53.76,152.67,Negative,2174,71.58,143.49
2027,406.34,106.83,291.41,Negative,5588,80.15,232.33
2029,352.81,111.66,141.74,Negative,3933,69.4,209.02
2028,262.13,47.68,99.66,Positive,3371,83.85,130.93
2025,438.45,35.59,289.07,Negative,2167,74.59,77.25
2030,132.96,94.0,171.41,Positive,3220,85.76,264.31
2024,209.48,137.65,74.38,Neutral,4197,69.95,175.14
2030,192.51,44.1,126.51,Negative,6308,64.12,288.1
2027,373.06,42.99,285.89,Negative,4183,69.39,264.63
2031,494.63,93.7,70.49,Neutral,1378,79.15,126.79
2029,386.99,76.57,262.27,Negative,4624,84.62,219.16
2023,175.68,110.85,177.78,Negative,3256,73.83,257.18
2025,383.76,24.76,259.71,Negative,2391,80.91,140.75
2023,221.7,29.49,203.0,Neutral,5813,69.78,67.73
2024,352.55,47.88,112.2,Negative,6068,68.95,243.88
2026,317.7,146.61,142.28,Neutral,8265,65.02,165.65
2029,302.21,81.09,84.59,Negative,5435,72.67,246.27
2025,458.02,129.45,218.39,Negative,8440,68.31,61.52
2026,305.15,54.92,199.01,Negative,7468,67.79,50.41
2025,121.89,38.59,154.67,Positive,6953,60.01,278.75
2028,396.92,33.49,80.09,Neutral,8104,66.96,226.39
2026,304.96,58.84,143.71,Positive,2128,82.48,279.46
2024,121.53,36.58,59.74,Positive,3741,70.24,161.05
2029,426.03,132.84,243.3,Neutral,1498,60.95,183.74
2026,495.54,77.65,296.72,Neutral,5565,83.48,271.63
2023,443.01,23.63,226.59,Neutral,3568,60.21,150.87
2025,148.75,12.56,276.03,Negative,1240,64.11,184.4
2029,174.85,87.78,122.84,Negative,7429,73.16,294.37
2025,232.06,24.95,288.35,Neutral,4830,89.81,128.66
2029,165.71,119.64,80.62,Negative,9082,69.79,55.19
2024,176.05,124.98,186.16,Positive,7464,88.66,111.74
2027,155.6,71.61,170.71,Neutral,3895,63.47,259.11
2023,427.85,134.35,99.8,Negative,3155,68.67,144.26
2026,401.81,72.36,198.06,Neutral,9316,73.42,257.46
2028,395.79,100.37,88.94,Positive,4129,62.62,144.34
2023,115.92,48.36,288.91,Negative,7937,82.04,224.9
2029,256.89,142.69,85.3,Negative,8776,75.24,205.06
2032,407.19,98.0,208.32,Positive,3728,87.53,271.87
2024,469.63,124.85,190.47,Neutral,4174,78.58,256.2
2026,320.77,43.86,156.5,Negative,5078,69.0,210.7
2030,334.6,83.65,239.83,Positive,4565,74.14,168.13
2026,306.92,67.84,99.84,Neutral,1992,85.61,231.32
2027,254.72,21.28,86.79,Positive,5823,87.32,51.51
2031,198.22,123.73,135.71,Positive,5212,77.11,195.39
2032,396.63,86.53,271.12,Neutral,9044,86.3,232.22
2026,466.6,55.9,143.02,Positive,1156,70.16,288.02
2026,333.25,91.06,63.63,Positive,8246,74.98,104.14
2029,397.56,138.69,155.94,Neutral,8853,88.85,161.21
2027,176.13,138.41,188.39,Positive,5272,69.37,231.28
2023,439.39,60.86,248.48,Positive,4701,78.7,235.41
2030,438.02,65.31,62.82,Neutral,3511,71.62,195.86
2029,242.79,98.86,96.6,Positive,3713,66.12,122.98
2032,110.75,63.27,76.53,Positive,3506,78.39,251.4
2023,459.18,83.51,226.82,Neutral,8067,72.86,63.45
2032,490.91,43.93,215.83,Neutral,7447,76.52,88.29
2025,296.94,108.12,263.89,Neutral,3831,69.28,284.18
2028,298.9,34.98,77.04,Negative,6365,77.92,148.41
2029,322.2,91.75,101.75,Positive,7500,83.3,261.89
2025,166.2,108.92,183.84,Negative,7085,66.35,60.37
2027,434.61,108.61,282.15,Positive,9738,69.19,116.27
2032,472.07,83.86,114.73,Positive,7665,81.78,80.33
2025,292.91,18.02,93.65,Neutral,6204,78.52,292.45
2027,149.64,27.0,230.28,Neutral,5732,80.0,205.84
2031,263.16,49.15,84.09,Neutral,6127,83.23,146.39
2028,399.98,122.72,84.21,Neutral,7998,75.07,131.97
2028,434.57,130.75,129.0,Neutral,9569,61.49,205.88
2028,294.01,21.96,293.12,Neutral,4924,68.44,164.39
2023,271.66,20.49,76.54,Neutral,3330,67.66,256.99
2032,124.78,90.75,79.8,Neutral,7200,61.58,258.54
2029,275.16,128.16,115.6,Positive,3276,61.2,162.27
2024,238.48,101.53,137.55,Positive,2565,71.0,74.87
2026,497.31,131.6,191.16,Positive,1942,68.54,179.3
2032,352.31,73.79,170.5,Negative,4381,65.09,73.91
2024,122.49,77.99,278.2,Positive,6533,61.92,129.35
2025,440.82,88.29,178.69,Neutral,2131,88.91,144.25
2028,377.97,11.48,148.52,Neutral,4159,70.38,58.8
2031,262.57,133.18,212.17,Neutral,3892,68.15,129.05
2032,290.53,103.77,150.59,Negative,9446,78.76,88.71
2028,289.66,41.61,204.16,Positive,4734,69.79,167.14
2023,493.86,39.27,82.59,Neutral,9446,72.77,191.35
2027,227.16,11.23,145.53,Positive,8688,76.15,278.31
2028,348.47,26.9,294.24,Neutral,2868,73.36,172.03
2032,245.36,141.35,118.89,Positive,2223,87.71,299.38
2031,194.24,53.44,149.78,Neutral,5402,66.1,288.64
2024,118.8,57.43,151.29,Neutral,5196,73.04,267.38
2024,396.35,85.96,213.4,Neutral,5200,77.79,172.31
2024,396.95,41.97,64.61,Positive,3793,71.08,215.94
2023,259.99,18.03,195.83,Neutral,9102,60.5,134.74
2029,267.73,108.15,152.68,Negative,3262,60.22,222.93
2029,418.96,81.11,237.58,Negative,6930,75.06,277.48
2032,332.83,121.69,266.09,Neutral,4491,82.71,222.28
2024,445.18,77.28,67.19,Negative,6588,72.51,269.44
2032,430.59,88.08,63.65,Positive,8060,68.73,167.35
2025,221.96,36.97,82.27,Negative,1364,66.04,52.39
2027,233.09,141.59,135.76,Neutral,4039,74.56,94.79
2027,280.09,45.66,137.97,Negative,8572,62.9,230.11
2029,354.36,117.22,69.8,Positive,4129,64.03,166.93
2030,271.34,13.79,245.88,Positive,6111,86.8,158.21
2023,494.68,45.12,177.41,Positive,5992,83.56,171.85
2030,472.4,17.07,186.83,Positive,9347,67.88,168.06
2028,480.86,125.31,227.25,Positive,2410,84.62,148.07
2030,161.81,71.54,177.62,Negative,7099,69.49,71.74
2027,288.89,109.8,148.23,Positive,6616,87.29,51.55
2024,475.06,105.16,192.55,Neutral,1314,76.13,53.55
2024,279.98,107.01,233.29,Negative,6585,68.63,184.56
2023,453.05,23.58,63.93,Positive,8837,74.95,200.81
2031,208.67,24.53,123.86,Neutral,6176,80.04,83.33
2030,426.88,11.91,273.93,Positive,1919,70.08,178.47
2025,235.19,108.77,96.88,Positive,7784,67.08,85.89
2029,304.44,72.37,291.74,Negative,6851,85.9,84.86
2024,447.19,91.63,229.5,Negative,6027,62.77,164.48
2031,446.82,44.16,291.68,Negative,5689,67.43,137.01
2026,434.98,55.22,272.25,Neutral,7378,65.19,116.69
2026,192.13,24.9,255.44,Positive,6816,61.44,287.13
2024,102.72,116.94,178.52,Neutral,7606,77.3,295.84
2026,262.04,10.38,262.49,Negative,5598,74.88,51.94
2024,338.46,113.54,102.74,Negative,2101,84.44,154.35
2025,475.13,104.8,79.76,Positive,3379,74.51,105.02
2030,451.08,22.54,228.84,Neutral,8890,72.33,226.01
2025,155.73,131.27,267.9,Negative,5354,73.33,125.82
2028,243.46,47.49,158.06,Positive,4395,82.4,53.15
2028,374.89,53.8,65.23,Positive,3817,60.29,152.3
2026,170.41,131.27,161.05,Negative,3486,85.87,254.02
2030,463.9,129.25,63.14,Positive,9684,78.29,278.77
2023,258.72,70.37,192.32,Negative,5354,67.82,179.57
2029,169.66,86.56,228.61,Negative,3590,66.99,173.0
2024,471.86,27.45,213.12,Neutral,7065,73.39,188.49
2029,471.1,131.48,226.91,Negative,5845,83.28,251.99
2028,351.36,71.41,59.69,Positive,9240,79.39,164.59
2027,113.75,99.45,70.36,Neutral,5777,72.96,299.76
2029,165.34,24.6,86.38,Neutral,2932,74.02,76.68
2029,274.27,28.07,235.57,Positive,4933,63.37,62.33
2029,154.26,46.41,146.26,Negative,7881,89.08,163.48
2025,394.37,48.51,209.78,Negative,8206,89.93,115.89
2026,361.69,149.75,68.74,Positive,8718,89.23,293.9
2026,428.74,100.48,211.84,Negative,4483,89.47,277.95
2028,335.35,39.77,74.25,Neutral,4007,84.75,264.58
2024,287.61,140.0,210.27,Neutral,1048,70.15,278.47
2025,291.15,59.74,220.63,Positive,8397,69.21,64.27
2027,150.1,101.77,59.95,Positive,9450,86.09,272.71
2030,493.23,79.16,267.34,Negative,4749,75.03,193.19
2028,435.54,132.8,110.79,Positive,9677,63.06,277.78
2027,404.01,16.83,260.93,Negative,1604,76.39,72.84
2032,401.25,111.84,267.4,Positive,9740,61.71,196.95
2030,149.95,83.56,77.37,Negative,5468,69.8,137.4
2030,486.62,71.7,115.1,Negative,7697,66.18,138.12
2032,151.94,104.67,264.65,Positive,7985,75.39,135.83
2025,340.9,55.13,244.22,Neutral,4670,84.28,218.21
2026,440.34,50.06,210.11,Positive,7906,88.74,58.36
2031,166.6,109.71,93.97,Neutral,6611,61.44,170.89
2030,157.7,116.26,175.15,Negative,3000,67.6,273.77
2031,240.31,126.58,173.35,Negative,6956,72.16,296.02
2024,493.57,136.86,63.86,Negative,4787,67.97,273.95
2027,478.92,38.79,203.42,Neutral,9867,65.71,180.22
2030,128.41,124.56,133.92,Negative,2752,75.44,178.32
2027,156.55,28.24,210.86,Positive,6795,62.6,109.21
2024,241.63,101.81,184.32,Positive,3431,61.64,54.42
2028,168.88,70.34,177.63,Negative,6192,72.74,135.44
2024,376.71,104.4,294.99,Negative,5025,80.6,110.9
2026,210.01,41.31,264.27,Neutral,8823,73.45,172.31
2029,131.32,90.28,74.59,Neutral,9553,82.12,113.21
2026,450.27,48.0,50.93,Neutral,3509,70.49,128.93
2032,111.25,62.54,206.69,Positive,5016,84.69,108.76
2025,262.08,93.45,76.86,Positive,7713,60.21,251.37
2026,265.48,105.04,109.2,Neutral,7379,78.91,297.12
2031,124.7,112.81,180.43,Neutral,3251,83.45,100.94
2031,236.89,147.39,207.42,Positive,2164,87.18,84.43
2029,212.59,19.81,64.16,Negative,6073,69.18,170.78
2032,383.43,112.46,93.49,Positive,8329,79.12,67.67
2028,332.89,51.98,58.6,Positive,7269,85.77,136.19
2032,456.41,123.91,228.74,Negative,8129,64.63,206.69
2026,106.67,132.29,109.12,Neutral,1490,82.08,130.0
2030,452.79,144.27,98.09,Positive,5868,70.3,54.77
2025,103.45,12.8,196.65,Neutral,9113,60.22,155.67
2031,158.21,132.92,117.3,Negative,4935,66.32,109.18
2027,431.98,68.19,114.58,Positive,6738,73.44,171.98
2024,122.29,137.64,225.52,Positive,4737,73.25,82.67
2024,466.7,122.11,162.78,Neutral,2946,81.58,204.69
2023,285.57,44.41,278.71,Neutral,5869,74.6,283.72
2028,459.47,73.91,87.36,Positive,7376,65.45,125.6
2031,165.83,66.89,281.65,Negative,2209,72.57,179.32
2032,493.83,103.3,121.35,Positive,6522,63.28,291.46
2026,484.89,145.03,122.36,Positive,5224,80.2,203.62
2024,140.18,81.28,56.17,Negative,1355,89.88,250.13
2025,354.11,15.82,101.7,Positive,9490,70.98,75.91
2025,235.4,10.99,220.06,Negative,8399,64.4,89.92
2031,112.61,27.02,208.27,Neutral,2416,78.71,83.51
2023,260.14,142.6,151.62,Positive,2040,87.23,71.85
2026,186.24,123.92,104.28,Neutral,3773,89.05,86.96
2027,480.9,16.98,87.48,Negative,9864,68.21,149.91
2025,484.15,16.24,85.77,Neutral,5071,77.01,283.07
2029,339.74,57.83,288.33,Positive,8422,84.54,216.83
2031,301.29,117.12,171.32,Positive,6442,79.45,93.1
2025,345.25,32.01,290.58,Neutral,3017,78.8,113.3
2028,427.13,147.05,175.47,Neutral,7343,75.63,217.32
2024,204.27,51.57,50.16,Positive,1727,62.37,161.88
2030,388.0,24.16,205.78,Negative,8135,83.67,108.42
2027,194.27,109.91,268.42,Positive,5241,86.0,198.39
2029,271.02,32.52,225.09,Negative,9624,62.37,97.92
2029,305.41,143.04,183.92,Neutral,6906,83.91,135.24
2024,296.12,128.55,257.99,Neutral,2096,70.0,172.98
2023,467.11,137.17,201.14,Neutral,1595,76.72,294.58
2030,479.71,52.71,92.21,Positive,5317,69.21,58.79
2025,317.64,87.24,139.14,Positive,9106,71.32,114.56
2031,299.01,48.63,232.75,Positive,5532,60.63,154.73
2028,214.44,111.19,286.33,Positive,9428,85.58,99.55
2028,173.43,124.93,157.22,Negative,6086,68.45,116.88
2030,193.75,27.3,80.92,Negative,3072,69.65,58.66
2024,465.88,79.1,163.39,Neutral,6993,75.84,100.52
2025,253.36,127.2,266.32,Negative,6085,69.0,87.82
2027,180.29,133.22,98.75,Neutral,5179,63.07,152.62
2024,144.8,128.93,183.21,Neutral,9314,82.21,79.5
2024,167.25,81.72,171.84,Negative,4554,65.25,218.16
2025,120.13,18.81,96.84,Negative,9212,82.37,298.9
2028,297.39,139.24,53.96,Negative,2164,86.66,65.42
2030,262.96,148.12,63.98,Neutral,8111,78.78,63.63
2024,454.22,11.4,270.6,Positive,2857,69.56,198.37
2023,299.64,25.42,147.38,Neutral,6072,60.47,140.02
2030,154.25,30.39,224.36,Neutral,2313,90.0,50.55
2028,162.34,44.08,260.55,Positive,2386,62.18,225.82
2029,457.6,83.04,115.67,Positive,4867,74.51,128.89
2030,372.71,134.43,223.13,Negative,7404,63.15,116.99
2030,246.62,62.27,87.85,Neutral,4078,81.22,97.6
2029,142.32,97.95,80.34,Neutral,3001,70.65,175.79
2028,464.54,87.57,93.62,Neutral,7035,64.77,138.54
2030,446.73,135.16,279.95,Neutral,6993,81.88,175.07
2025,342.69,33.35,249.36,Neutral,4110,65.22,134.37
2030,146.24,64.41,59.31,Positive,2658,85.09,103.87
2032,289.2,82.76,97.64,Neutral,6578,87.09,62.71
2028,138.95,52.43,209.56,Neutral,4329,87.85,66.41
2023,434.22,144.63,243.77,Neutral,2888,85.31,98.74
2030,421.54,81.24,65.61,Positive,9701,77.06,266.93
2030,486.64,73.31,85.7,Negative,2777,88.55,129.93
2026,379.34,51.13,218.01,Neutral,9343,71.15,54.43
2030,108.68,98.37,90.9,Neutral,2242,60.41,140.72
2023,455.46,77.74,232.11,Positive,2824,88.0,230.88
2027,225.83,21.81,221.25,Negative,1064,62.3,156.57
2030,177.34,143.1,152.17,Neutral,9880,61.13,229.3
2028,206.9,69.01,73.6,Positive,5151,82.87,275.08
2030,142.09,104.08,208.86,Negative,4718,68.21,295.0
2023,207.3,149.91,93.83,Negative,6114,77.08,280.19
2032,316.22,74.15,286.25,Negative,6494,61.95,166.43
2023,316.64,98.12,114.23,Negative,2678,64.93,175.93
2026,466.37,96.16,98.17,Neutral,8002,75.77,229.53
2027,487.15,134.58,200.13,Negative,6976,79.37,273.01
2029,351.4,88.02,235.66,Positive,4190,76.95,72.04
2023,390.91,98.73,85.13,Neutral,6501,85.47,160.91
2032,276.15,86.83,249.07,Neutral,7163,88.81,215.08
2030,231.63,54.04,178.02,Positive,7755,61.43,138.06
2029,258.42,37.88,156.2,Positive,9593,83.92,117.35
2026,123.3,46.72,159.02,Neutral,5036,88.43,241.71
2032,172.35,112.87,113.04,Positive,9795,78.54,216.46
2029,145.9,27.66,182.38,Neutral,3835,60.97,198.82
2024,499.79,97.13,157.75,Negative,2963,85.23,299.21
2023,113.14,79.88,200.15,Neutral,9101,80.56,295.47
2023,479.28,78.15,225.58,Positive,4179,70.7,115.35
2023,406.54,102.11,255.97,Neutral,1837,89.07,228.49
2024,401.51,97.08,185.02,Positive,5647,77.77,170.62
2025,262.32,145.86,78.1,Neutral,3739,71.51,156.09
2023,210.78,19.21,226.5,Negative,1292,86.74,152.83
2029,188.71,119.27,100.29,Positive,1966,74.23,52.49
2025,423.05,118.01,278.78,Negative,5690,80.5,63.08
2023,438.2,121.87,177.12,Neutral,3956,82.42,102.35
2031,162.28,41.59,102.95,Neutral,8756,87.23,232.44
2025,132.01,60.33,264.59,Positive,4581,63.47,131.53
2032,130.16,45.05,217.33,Positive,1358,81.44,205.85
2028,421.99,145.43,117.15,Negative,4808,76.77,175.7
2024,397.44,115.04,129.32,Positive,9128,60.25,240.25
2023,121.17,115.69,288.79,Positive,7800,69.71,95.95
2029,370.59,36.59,254.69,Positive,1716,79.68,135.29
2032,324.84,10.82,69.63,Positive,9340,89.24,256.4
2030,208.27,61.87,192.23,Positive,8233,82.19,71.65
2024,275.06,57.56,229.75,Positive,9780,83.72,163.49
2030,378.05,96.27,170.72,Negative,5798,63.53,113.0
2023,278.54,87.1,286.12,Negative,4768,75.7,79.19
2028,459.84,119.47,98.84,Negative,2209,78.16,64.27
2023,140.74,111.99,99.92,Positive,8001,66.03,126.43
2028,262.55,77.91,185.21,Neutral,7691,68.58,67.78
2032,397.32,71.34,254.45,Negative,6920,87.89,286.97
2030,235.2,136.96,196.84,Positive,7843,80.33,106.68
2028,457.9,47.47,152.65,Neutral,8982,86.77,157.74
2024,275.21,67.22,157.23,Neutral,8833,64.49,66.39
2027,218.47,90.12,160.46,Neutral,4284,82.39,273.38
2030,129.14,140.57,148.64,Positive,2309,68.37,211.59
2026,198.54,18.86,82.93,Positive,2231,79.01,113.3
2032,117.37,46.54,268.94,Negative,1946,60.53,179.25
2023,106.45,62.17,137.93,Negative,1386,62.18,247.53
2032,421.28,88.66,235.22,Negative,5480,70.67,252.21
2024,221.81,13.48,50.98,Negative,1109,84.54,282.48
2027,197.82,41.83,134.81,Positive,1104,73.16,104.57
2032,442.81,68.12,72.33,Neutral,7382,66.92,122.8
2023,454.74,134.44,236.43,Positive,5287,62.69,134.34
2023,443.11,76.37,51.03,Negative,2667,79.93,227.2
2024,455.41,71.87,85.71,Neutral,2490,83.7,209.82
2029,290.84,149.24,219.79,Negative,1440,81.75,78.55
2031,334.94,34.39,290.72,Negative,4262,73.96,65.8
2023,163.9,32.97,121.3,Positive,4133,87.17,293.77
